,Дата,severstal,aeroflot,gazprom,lukoil,novatek,ozon,rosneft,sber,tatneft,yandex,SU26207RMFS9,SU26227RMFS7,SU26238RMFS4,SU26243RMFS4,SU25085RMFS0,brent,moex,rts,Евро,Доллар США
0,29.12.2023,1407.0,35.05,159.52,6739.0,1463.2,2804.5,593.2,270.82,710.0,2540.0,92.2,97.78,66.398,87.0,96.0,77.04,"3 099,11","1 083,48","100,5506","90,3041"
1,28.12.2023,1408.0,34.87,159.14,6767.0,1448.0,2799.0,591.9,271.74,708.2,2531.2,92.104,97.35,66.392,87.1,96.0,77.15,"3 101,99","1 090,93","101,3451","91,7051"
2,27.12.2023,1382.0,35.11,159.86,6768.0,1450.6,2688.5,594.55,271.08,717.7,2550.0,91.9,97.332,66.467,87.217,96.0,79.54,"3 097,49","1 068,71","101,1178","91,7069"
3,26.12.2023,1375.2,35.47,161.0,6771.0,1476.2,2661.5,589.3,271.9,698.3,2427.6,92.015,97.37,66.532,87.7,96.0,81.07,"3 094,72","1 063,05","101,5781","91,9690"
4,25.12.2023,1341.2,35.56,161.09,6744.0,1478.0,2662.0,584.45,271.08,676.0,2396.6,92.137,97.252,66.975,87.836,96.0,,"3 099,02","1 063,67","101,2863","91,9389"
5,22.12.2023,1333.8,35.97,162.09,6732.5,1489.6,2632.0,583.75,271.3,661.5,2295.8,92.15,97.236,66.86,87.8,96.0,79.07,"3 092,58","1 057,58","100,5113","91,7062"
6,21.12.2023,1336.6,35.93,161.57,6702.0,1478.2,2633.0,577.1,265.19,658.5,2267.2,92.055,97.108,66.75,88.0,96.0,79.39,"3 073,57","1 051,87","99,0480","90,4056"
7,20.12.2023,1330.0,36.94,163.56,6735.0,1531.2,2678.0,578.6,266.61,658.4,2288.8,92.166,96.96,66.599,87.597,96.0,79.7,"3 104,66","1 075,11","98,5764","90,0870"
8,19.12.2023,1307.2,36.66,165.48,6709.0,1531.4,2695.0,574.0,267.35,653.4,2242.2,92.036,96.914,66.136,86.703,96.0,79.23,"3 083,64","1 074,4","98,7578","90,4162"
9,18.12.2023,1283.2,37.3,167.0,6723.5,1501.0,2700.5,566.65,268.4,643.6,2250.4,91.67,97.0,65.61,86.59,96.0,77.95,"3 076,26","1 075,5","98,4186","89,6966"
10,15.12.2023,1273.6,36.28,164.2,6560.0,1494.6,2630.5,561.5,268.21,635.3,2224.4,91.22,96.98,65.0,86.109,96.0,76.55,"3 033,89","1 060,64","97,7377","89,6741"
11,14.12.2023,1216.6,35.34,160.89,6860.0,1460.2,2539.0,535.7,256.64,617.0,2157.6,90.94,96.835,64.272,85.014,96.0,76.61,"3 008,84","1 055,45","96,9500","89,8926"
12,13.12.2023,1245.4,35.68,163.92,7043.5,1507.6,2617.0,555.85,260.45,628.7,2266.8,90.928,97.013,64.333,85.111,96.0,74.26,"3 032,22","1 062,67","97,4030","90,2158"
13,12.12.2023,1240.6,35.29,162.46,7014.5,1496.4,2566.5,549.55,257.6,625.5,2257.0,91.001,97.02,64.515,85.504,96.0,73.24,"3 019,89","1 056,02","98,0769","90,9846"
14,11.12.2023,1251.0,35.09,164.87,6977.0,1491.0,2510.0,555.0,256.89,625.0,2207.6,91.05,97.287,64.901,85.86,96.0,76.03,"3 026,17","1 047,95","98,8409","91,6402"
15,08.12.2023,1270.4,35.66,161.5,7140.0,1531.4,2673.0,564.7,265.16,637.7,2337.6,91.651,97.225,65.325,86.747,96.0,75.84,"3 079,99","1 054,28","99,8131","92,5654"
16,07.12.2023,1245.0,34.94,163.38,7092.0,1515.2,2640.0,560.6,265.12,626.2,2349.8,91.464,97.225,65.311,86.2,96.0,74.05,"3 073,63","1 051,21","100,1353","92,7826"
17,06.12.2023,1252.0,35.24,158.74,7138.0,1505.8,2697.5,565.55,267.58,622.2,2320.6,91.345,97.001,65.433,86.317,96.0,74.3,"3 079,5","1 045,28","99,1340","91,5823"
18,05.12.2023,1295.2,36.06,160.46,7248.5,1542.4,2737.5,574.35,279.62,635.2,2418.6,91.345,97.011,65.872,86.84,96.0,77.2,"3 129,33","1 066,13","98,5768","90,6728"
19,04.12.2023,1274.0,35.8,160.01,7132.5,1505.4,2707.0,565.0,270.96,623.7,2397.8,91.58,96.853,66.02,87.01,96.0,78.03,"3 114,41","1 076,99","97,9126","89,7619"
20,01.12.2023,1257.0,36.51,162.61,7175.5,1500.0,2756.5,575.15,273.97,632.5,2420.6,91.85,97.08,66.81,87.6,96.0,78.88,"3 142,29","1 095,28","96,8827","88,5819"
21,30.11.2023,1268.2,36.29,163.23,7239.0,1510.0,2828.0,584.3,277.5,638.8,2523.4,92.309,97.565,67.15,87.856,96.0,80.86,"3 165,79","1 115,01","97,6503","88,8841"
22,29.11.2023,1297.2,36.72,163.17,7202.0,1493.6,2903.0,593.45,276.8,638.7,2574.0,92.379,97.59,67.06,88.001,96.0,82.88,"3 173,52","1 128,01","97,0659","88,6102"
23,28.11.2023,1304.2,37.15,164.21,7238.0,1509.2,2868.0,589.9,279.91,641.2,2602.6,92.235,97.552,67.023,87.866,96.0,81.68,"3 196,36","1 128,61","97,1594","88,7045"
24,27.11.2023,1294.2,37.82,162.79,7222.5,1510.4,2901.0,578.0,282.33,638.4,2593.2,92.217,97.505,67.014,87.901,96.0,79.98,"3 191,05","1 132,05","96,9187","88,8133"
25,24.11.2023,1317.2,38.51,164.71,7295.0,1514.0,2895.0,578.85,286.85,648.0,2594.6,92.269,97.42,67.103,88.0,96.0,80.58,"3 217,76","1 143,15","96,2273","88,1206"
